Node_ID,MAC_Address,Timestamp,RSSI,LQI,Diff_RSSI
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801710.8194103,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801710.9178393,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.0182533,-52,164,1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.1182456,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.2194295,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.3204007,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.419743,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.5212326,-53,160,-1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.620733,-52,164,1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.7206154,-53,160,-1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.8223088,-52,164,1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801711.9215739,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.0219238,-53,160,-1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.122293,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.2240002,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.3236659,-52,164,1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.4223535,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.5241792,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.6243434,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.7255201,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.8244345,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801712.924765,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.0259006,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.1265173,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.2254372,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.3259375,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.4277275,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.5264137,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.6286876,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.7278829,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.828446,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801713.9277184,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.0273483,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.12979,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.2278357,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.3289108,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.4304552,-51,168,1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.529671,-51,168,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.6312733,-51,168,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.7313702,-51,168,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.8298583,-52,164,-1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801714.930547,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.0312903,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.1315372,-51,168,1
