Environment,Sender_Node,Sender_MAC,Receiver_Node,Receiver_MAC,Timestamp,RSSI,LQI,Diff_RSSI
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:40.973,-77,64,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.073,-78,60,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.172,-77,64,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.274,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.374,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.476,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.574,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.677,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.775,-76,68,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.875,-76,68,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:41.975,-76,68,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.076,-77,64,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.177,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.277,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.378,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.476,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.577,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.679,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.779,-78,60,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.879,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:42.978,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.078,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.180,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.279,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.379,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.480,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.581,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.681,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.781,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.881,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:43.981,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.081,-77,64,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.184,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.282,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.383,-78,60,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.483,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.585,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.684,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.785,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.884,-79,56,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:44.985,-80,52,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.086,-78,60,2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.185,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.285,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.388,-77,64,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.487,-78,60,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.588,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.686,-77,64,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.786,-78,60,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.887,-80,52,-2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:45.989,-81,48,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.089,-79,56,2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.189,-78,60,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.290,-79,56,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.389,-80,52,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.489,-79,56,1
